Required_Order,Book_Line_Ref,Chapter,Headword,Latin_Entry,Definitions,Occurrences in the Aeneid
318,II.212,II.51-75,"vīsus","ūs, m.","a seeing; vision, sight, 4.277; a phenomenon, spectacle, appearance, sight, 2.212; aspect, 11.271; prodigy, 3.36. (videō)",12
319,II.214,II.51-75,"amplector","amplexus sum, 3, dep. a.","to embrace, clasp, 3.607; wind, pass around, 5.86; encircle, coil around, 2.214; (fig.), comprehend, embrace, in description.",12
320,II.215,II.51-75,"implicō","āvī or uī, ātus or itus, 1, a., ","to fold in; involve, entangle, entwine, 2.215; to wheel, 12.743; (w. dat.), bind to, 11.555; infuse, 1.660; insinuate, mingle, 7.355; sē implicāre, cling to, 2.724.",13
321,II.218,II.51-75,"collum","ī, n.","the neck of men and animals, 1.654, et al.; of a plant, 9.436; pl., the neck, 11.692.",28
322,II.223,II.51-75,"saucius","a, um","(adj.), wounded, 2.223; pierced, 4.1.",8
323,II.224,II.51-75,"excutiō","cussī, cussus, 3, a.","to shake out or off, 2.224; throw or cast down, 1.115; cast out, 10.590; drive away, 3.200; expel, 7.299; shake out, uncoil, 3.267; uncoil and arrange (set the sails), 3.683; deprive of, 6.353; throw aside, break, 12.158; hurry forth, call forth, 9.68. (ex and quatiō)",22
324,II.230,II.51-75,"sacrō","āvī, ātus, 1, a.","to set apart to the gods; devote, consecrate, 2.502; w. acc. and dat., devote, 10.419. (sacer)",12
325,II.225,II.51-75,"lāpsus","ūs, m.","a slipping; gliding, 2.225; gliding movement, 2.225; turning, movement, 2.236; descent, flight, 3.225; course, 4.524. (1. lābor)",5
326,II.227,II.51-75,"clipeus","ī, m., and clipeum, ī, n.","a round shield; a shield, 2.227, et al.",1
327,II.229,II.51-75,"pavor","ōris, m.","a trembling, panic, fear, terror, 2.229; throbbing; eager, trembling, anxiety, 5.138. (paveō)",5
328,II.235,II.51-75,"accingō","cīnxī, cīnctus (pass. inf., accingier, 4.493), 3, a.","to gird on; gird, 2.614; arm, equip, 6.184; make one’s self ready; prepare, 1.210; resort to, 4.493. (ad and cingō)",11
329,II.237,II.51-75,"fūnis","is, m.","a rope, 2.239, et al.; cord, string, 5.488.",10
330,II.245,II.76-100,"sistō","stitī, status, 3, a. and n.","to cause to stand, put, set, place, w. abl. of place, 2.245, et al.; place before one, bring, 4.634; fix, plant, 10.323; stop, 12.355; arrest, stay, 6.465; support, sustain, maintain, 6.858; set, place, 6.676; n., stand still, to stop, remain, abide, 3.7; stand in fight, 11.873.",15
331,II.249,II.76-100,"vēlō","āvī, ātus, 1, a.","to veil, 3.405; cover, clothe; bind around, wreathe, crown, 5.72; festoon, adorn, 2.249; to shade by bearing in the hand, 7.154; 11.101. (vēlum)",15
332,II.278,II.76-100,"sopor","ōris, m.","sleep; sound, deep slumber, 2.253; personified, 6.278.",6
333,II.273,II.76-100,"complector","plexus sum, 3, dep. a.","to embrace; cover, 2.514; hold, 5.31; seize, grasp, 11.743.",13
334,II.285,II.76-100,"aspiciō","spexī, spectus, 3, a.","to look at; to behold, see, 1.393, et al.; (fig.), to consider, 1.526; regard, pity, 2.690. (ad and speciō, look)",34
335,II.285,II.76-100,"serēnus","a, um","(adj.), clear, calm, tranquil, serene, 3.518, et al.; fair, 2.285; subst., serēnum, ī, n. (sc. caelum), a clear sky.",7
336,II.290,II.76-100,"culmen","inis, n.","a top, summit, height, 2.290; house top, ridge, roof, 2.458. (cf. columna)",15
337,II.297,II.76-100,"penetrālis","e","adj. (penetrō), innermost, inner, 2.297; subst., penetrālia, ium, n., the interior of a house; sanctuary, shrine, chapel (of a dwelling or temple), 2.484, et al.",7
338,II.301,II.76-100,"horror","ōris, m.","a roughening or bristling; (fig.), a shuddering; terror, dread, horror, dismay, 2.559; clashing din, 2.301. (horreō)",7
339,II.302,II.76-100,"fastīgium","iī, n.","that which is carried to a point or apex; the apex or point of a pediment; a gable, upper part of a house; roof, pinnacle, battlement, 2.444; slope of a trench; (fig.), chief point, 1.342. (fastīgō)",10
341,II.305,II.76-100,"rapidus","a, um","adj. (rapiō), that tears away; violent, fierce; swiftly moving, rapid, 1.42; speedy, quick, prompt, 5.513.",27
342,II.306,II.76-100,"serō","sēvī, satus, 3, a.","to sow or plant; with indefinite object omitted, 6.844; scatter, spread, disseminate, 12.228.",15
342,II.306,II.76-100,"serō","sertus, 3, a.","to join together; interweave, plait; interchange words; multa serere, to interweave many things, talk, commune much, 6.160.",1
343,II.306,II.76-100,"bōs","bovis, c.","an ox, 2.306; bull, 5.405; cow, 7.663; heifer, 7.790; pl., cattle, 3.220.",14
344,II.314,II.76-100,"āmēns","entis","out of one’s mind or senses; amazed, beside one’s self, frantic, mad, furious, 2.314; 4.203; distracted, 3.307.",13
345,II.319,II.76-100,"faucēs","ium, f.","the jaws, throat, 2.358; (fig.), mouth, entrance, jaws, 6.241; defiles, 11.516.",15
346,II.322,II.76-100,"prehendō","ī, ēnsus, 3, a.","to lay hold of; seize, 2.592; catch, 3.450; seize, hold for defense, 2.322; overtake, reach, 6.61.",8
347,II.328,II.76-100,"arduus","a, um","(adj.), steep; erect, high, raised high, 2.475; 5.480; lofty, towering, 2.328; rearing, 11.638.",28
348,II.349,II.76-100,"cupīdō","inis, f.","ardent longing, desire; love, 7.189; ardor, thirst, 9.354; resolve, 2.349; personified, Cupīdō, inis, m., Cupid the son of Venus, and god of love, 1.658. (cupiō)",12
349,II.355,II.76-100,"ceu","ceu","(adv. and conj.), as, just as, 5.88; as if, 2.438, et al. (ce-ve)",1
350,II.358,II.76-100,"siccus","a, um","(adj.), dry, 3.135; thirsty, dry, hungry, fasting, 2.358; nearly equivalent to carēns or prīvātus, with abl. foll., drained of blood, 8.261; hence, thirsting for blood, 9.64; subst., siccum, ī, n., dry ground, sand, or land, 10.301.",7
351,II.359,II.76-100,"vādō","3, n.","to go, walk, advance, go on, 2.396, et al.; rush, 2.359; move, speed on, 8.702; imperat., vāde, away, go on! 3.462.",9
352,II.368,II.76-100,"servō","āvī, ātus, 1, a.","to save, 3.86, et al.; reserve, 1.207; retain, keep, 6.200; hold, 7.179; continue, maintain, 10.340; guard, 2.450; keep, cherish, 1.36; preserve, inherit, 7.52; sit by, 2.568; dwell, abide by, 6.402; give heed to, watch, observe, 6.338; 11.200.",56
353,II.403,II.76-100,"trepidus","a, um","(adj.), agitated, uneasy, disturbed, trembling, affrighted, 2.380; excited, tumultuous, 11.300; confused, in disorder, 10.283; alarmed, fearful of, anxious for, w. gen., 12.589; panic-stricken, 12.583.",25
354,II.416,II.76-100,"caerulus","a, um","(adj.), dark blue, 2.381; sea-colored, azure, 5.819; dark; black, 3.64; subst., caerula, ōrum, n., the dark blue waters; the sea, 3.208.",2
355,II.420,II.101-125,"haud","haud","(adv.), not at all; not, 1.387, et al.",102
356,II.423,II.101-125,"dēnsus","a, um","(adj.), thick, dense, crowded, compact, in close array, serried, 2.383; frequent, 5.459.",36
357,II.470,II.101-125,"exsultō","āvī, ātus, 1, intens. n.","to spring; move with bold or exulting strides, 2.470; 10.643; advance proudly, 10.550; bound, 12.688; rise, surge in billows, swell, 3.557; bubble, 7.464; pant, 5.137; exult, rejoice, triumph, 2.386. (exsiliō)",15
358,II.473,II.101-125,"mōnstrō","āvī, ātus, 1, a.","to show, point out, indicate, 1.444; inform, tell, 1.321; direct, incite, 9.44; ordain, appoint, prescribe, 4.636. (mōnstrum)",18
359,II.479,II.101-125,"prōcumbō","cubuī, cubitus, 3, n.","to lie down; to bend, lean forward, lie along, 8.83; bend down, lie prostrate; fall upon, 11.150; bend to, ply the oars, 5.198; to fall in death or battle, 2.426; fall down, sink in ruins, 2.505.",3
360,II.481,II.101-125,"pietās","ātis, f.","piety, reverence, devotion, love with respect to gods or parents, 1.10; in other relations, dutiful affection; fidelity, regard; righteousness; pity for the injured, just retribution, justice, 2.536; pity, compassion, mercy, 5.688; patria pietās, affection for a parent, 9.294. (pius)",22
361,II.483,II.101-125,"cinis","eris, m.","ashes, embers, 5.743; ashes of the dead, 4.34; (meton.), tomb, sepulcher, 4.633.",18
362,II.485,II.101-125,"aevum","ī, n.","indefinite time; lapse of time, time, 3.415; age, 2.638; old age, 2.509; life, 10.582; immortality, 10.235.",20
363,II.492,II.101-125,"tardus","a, um","(adj.), slow, sluggish, tardy, 5.154; backward, lingering, coming on late, 1.746; sluggish, gross, carnal, 6.720.",10
364,II.493,II.101-125,"postis","is, m.","a post; doorpost, jamb, 3.287; door, 2.480. (rel. to pōnō)",14
365,II.495,II.101-125,"quandō","quandō","(adv. interrog. and rel., and conj.), when; (indef.), at any time, 3.500; (conj. of cause), when, since, 6.50; as, since, because, 1.261; 4.291, et al.; sometimes joined w. sī as one word.",12
366,II.495,II.101-125,"īnstaurō","āvī, ātus, 1, a.","to build; perform, celebrate, 3.62; revive, resolve anew, 2.451; celebrate anew, 4.63; renew, 2.669; repay, requite, 6.530.",10
367,II.492,II.101-125,"labō","āvī, ātus, 1, n.","to give way, begin to yield; totter, 2.492; of the mind, waver, 4.22; falter, flag, despond, 12.223.",7
368,II.514,II.101-125,"cessō","āvī, ātus, 1, intens. n.","to remit action; stay, linger, rest; be inactive, 1.672; cease, 2.468; delay, 6.51; impers., cessātum est, delay has been made, has happened, 11.288. (cēdō)",9
369,II.469,II.101-125,"vestibulum","ī, n.","entrance, porch, portal, vestibule, 2.469, et al.",5
371,II.471,II.101-125,"grāmen","inis, n.","grass, 3.537, et al.; a blade of grass or of grain, 7.809; plant; herb, 2.471; pasture, meadow; grassy field, plain, 7.655.",8
372,II.472,II.101-125,"frīgidus","a, um","adj. (frīgeō), cold, 7.715; chilling, benumbing; chill, shuddering, 3.29; cool; (fig.), without spirit, slow, w. dat., 11.338.",10
373,II.472,II.101-125,"tumidus","a, um","adj. (tumeō), swollen, 1.142; distended, 10.387; elated, 9.596; incensed, angry, 6.407; causing to swell, swelling, 3.357.",12
374,II.480,II.101-125,"cardō","inis, m.","a hinge, pivot, 1.449; the socket in which the pivot plays, 2.493; (fig.), a turning point, crisis, emergency, 1.672.",8
375,II.483,II.101-125,"ātrium","iī, n.","a rectangular area in the middle of a dwelling, partly open to the sky; and often surrounded with a colonnade; the court or principal apartment of a dwelling; or, in a house containing more than one court, the forecourt or first hall; a court, hall, 2.483, et al.",6
376,II.487,II.101-125,"plangor","ōris, m.","lamentation by beating the breast; lamentation, wailing, cry of grief, 2.487. (plangō)",4
377,II.488,II.101-125,"ululō","āvī, ātus, 1, a. and n.","to howl, 6.257; wail, shriek, 4.168; to utter wild cries of triumph, 11.662; shriek the name of; invoke with cries, 4.609.",6
378,II.489,II.101-125,"pavidus","a, um","adj. (paveō, fear), trembling, alarmed, terror-stricken, 2.489; solicitous, trembling with expectation, eager, 5.575.",10
379,II.493,II.101-125,"iānua","ae, f.","the outer door or gate, 2.493; entrance, way, 2.661. (Iānus)",5
380,II.496,II.126-150,"amnis","is, m.","flowing water; a river, freq.; stream, 4.164; water, 12.417; amnis Eumenidum, the Cocytus, 6.374.",38
381,II.503,II.126-150,"thalamus","ī, m.","a bedchamber; chamber, 2.503; couch, 6.280; marriage, 4.18; bridals, the bride, 7.388; pl., thalamī, ōrum, nuptials, wedlock, marriage, 6.94.",20
382,II.510,II.126-150,"umerus","ī, m.","the upper bone of the arm; the shoulder, 1.501, and freq.",54
383,II.512,II.126-150,"axis","is, m.","an axle; synecdoche, car, chariot, 5.820; the axis of the heavens, the sky, the heavens, 4.482; the pole; the north pole, the north.",8
384,II.513,II.126-150,"iūxtā","iūxtā","(adv. and prep. w. acc.), near, close, near by, 2.513; at the same time, 2.666; near to, 3.506.",12
385,II.513,II.126-150,"laurus","ī, f.","the laurel or bay tree, 2.513; a laurel crown or wreath, 3.81.",9
386,II.515,II.126-150,"altāria","ium, n.","the upper part of an altar; a high altar, 7.211; an altar, 2.515. (altus)",11
387,II.516,II.126-150,"columba","ae, f.","a pigeon, dove, 2.516.",6
388,II.525,II.126-150,"longaevus","a, um","adj. (longus and aevum), of advanced age; aged, 2.525, et al.",14
389,II.528,II.126-150,"porticus","ūs, f.","a portico, porch, gallery, pillared hall, colonnade, hall, 3.353. (porta)",5
390,II.558,II.126-150,"sepulcrum","ī, n.","a place of burial; tomb, sepulchre, grave; burial, sepulture, 2.542. (sepeliō)",11
391,II.544,II.126-150,"ictus","ūs, m.","a smiting; a stroke, blow, 5.198, and freq.; shooting, 7.165; wound, 7.756; force, 2.544. (icō)",21
392,II.553,II.126-150,"tenus","tenus","(prep. w. gen. or abl., placed after its case), as far as; up to, 2.553; down to, to, 3.427; to, 1.737; hāc tenus, separated by tmesis, thus far, 5.603.",5
393,II.579,II.126-150,"coniugium","iī, n.","a joining together; marriage, wedlock, 4.172; (meton.), husband, wife, consort, 2.579; 3.296. (coniungō)",10
394,II.592,II.126-150,"caelicola","ae, c.","an inhabitant of heaven; a god, 2.641, et al. (caelum and colō)",8
395,II.595,II.126-150,"linquō","līquī, 3, a.","to leave, 1.517, and freq.; desert, abandon, flee from, 3.213; pass by, 3.705; depart from, leave, 3.124; of death, yield up, 3.140; give up or over, desist from, 3.160.",41
396,II.622,II.126-150,"faciēs","ēī, f.","the make or fashion of things; form, figure, 12.416; face, countenance, 1.658; image, specter, 7.448; aspect, 6.104; appearance, 3.310; form, kind, 6.560. (faciō)",34
397,II.604,II.126-150,"invideō","vīdī, vīsus, 2, n. and a.","to look into; to look at with dislike; begrudge, envy, 4.234, et al.; withhold, deny.",6
398,II.606,II.126-150,"ūmidus","a, um","adj. (ūmeō), moist, wet, damp, dewy, 2.8, et al.; liquid, 4.486.",9
399,II.609,II.126-150,"fūmus","ī, m.","smoke, 2.609, et al.",10
400,II.610,II.126-150,"quatiō","no perf., quassus, 3, a.","to shake, freq.; brandish, 11.767; flap, 3.226; shatter, 2.611; make tremble, 5.200; thrill, penetrate, 3.30; ransack, beat up, search, scour, 11.513; torment, 6.571; assault, 9.608; spur, 12.338.",18
401,II.611,II.126-150,"ēruō","ī, tus, 3, a.","to cast out or up; to overthrow, 2.5.",8
402,II.629,II.126-150,"ornus","ī, f.","a mountain-ash, 2.626, et al.",5
403,II.633,II.126-150,"expediō","īvī or iī, ītus, 4, a.","to make the foot free; to extricate, disentangle; bring forth, get ready, 1.178; seize, use, 5.209; serve, 1.702; unfold, describe, disclose, 3.379, 460; declare, 11.315; pass. in middle sig., make one’s way out, escape, 2.633. (ex and pēs)",14
404,II.639,II.126-150,"solidus","a, um","(adj.), the whole, whole, entire, 6.253; massive, 2.765; solid, hard, 6.552; sound, unimpaired, 2.639.",8
405,II.646,II.151-170,"exuviae","ārum, f.","that which has been taken off; a garment, vestment, 4.496; armor, arms; spoils, 2.275; memorials, relics, 4.651; skin, 2.473; hide, 11.577. (exuō)",12
406,II.653,II.151-170,"urgeō","ursī, 2, a. and n.","to drive, impel, press forward, 1.111; ply, hasten, 9.489; press, oppress, crush, bear down, 3.579; press around, inclose, surround, hem in, 11.524; weigh upon, oppress, close, 10.745; overpower, 2.653; attack, 10.375; punish, torture, 6.561.",23
407,II.683,II.151-170,"mollis","e","(adj.), soft, tender, delicate; pliant, flexible, soft, 1.693; soft-cushioned, 8.666; subtle, 4.66; tamed, gentle; yielding, accessible, favorable, 4.293; haud mollia, things hard, difficult, harsh, unwelcome, 12.25.",24
408,II.687,II.151-170,"laetus","a, um","(adj.), joyful, joyous, glad, 4.418, et freq.; delighting in (w. abl.), 1.275, 696; 2.417; springing, 10.643; sparkling, radiant, 1.591; happy, auspicious, 1.605; abounding, rich, full (w. abl. or gen.), 1.441; well fed, fat, 3.220; blissful, blessed, 6.744.",77
409,II.691,II.151-170,"fīrmō","āvī, ātus, 3, a.","to make firm or strong; make steady, assure, 3.659; to establish, mature; confirm, 2.691; ratify, 12.212; encourage, 3.611, secure, guard, 11.466. (fīrmus)",9
410,II.694,II.151-170,"stella","ae, f.","a star, freq.; a meteor, 2.694.",7
411,II.697,II.151-170,"sīgnō","āvī, ātus, 1, a.","to distinguish by a mark or symbol, 6.780; mark, mark out; indicate, designate, 2.697; inscribe, record, 3.287; of the mind, observe, mark, notice, 2.423. (sīgnum)",9
412,II.712,II.151-170,"famulus","ī, m.","pertaining to the house; a house servant or slave; manservant, 1.701; attendant, 5.95.",8
413,II.722,II.151-170,"leō","leōnis, m.","a lion, 2.722, et al.",17
414,II.725,II.151-170,"opācus","a, um","(adj.), shady, 6.283; obscure, dark, 3.619; subst., opāca, ōrum, n., partitive; opāca viārum, dark pathways, roads, 6.633.",2
415,II.765,II.151-170,"crātēr","ēris, m., acc. sing. ēra, pl. ēras","a large mixing bowl or urn; mixer; bowl, 1.724; jar, 6.225.",7
416,II.766,II.151-170,"congerō","gessī, gestus, 3, a.","to bring together; collect, heap up, 2.766; construct, build, 6.178.",3
417,II.776,II.151-170,"indulgeō","dulsī, dultus, 2, n.","to be indulgent, kind, yielding, give way to, 2.776; yield to, indulge in, 4.51; favor, 8.512.",7
418,II.804,II.151-170,"arō","āvi, ātus, 1, a. and n.","to plow; till, cultivate, 4.212; of navigation, to plow, 2.780; of age, to furrow, 7.417.",6
419,II.810,II.151-170,"opīmus","a, um","adj. (ops), rich, fertile, 1.621; sumptuous, 3.224; spolia opīma, the arms taken by a general from a general slain in battle, 6.855.",5
420,II.810,II.151-170,"lēnis","e","(adj.), mild, 3.70; gentle, quiet, 2.782.",3
421,II.810,II.151-170,"māter","matris, f.","a mother, matron, 1.314; 2.489; parent stem, trunk, plant, or tree, 12.209; native, motherland, 10.172; Māter īdaea, Māter (māgna), the Idaean Mother, the Great Mother of the gods, Cybele, 9.619. (μήτηρ)",82
422,II.790,II.151-170,"lacrimō","āvī, ātus, 1, n. and a.","to shed tears, weep, 1.459. (lacrima)",13
423,II.791,II.151-170,"tenuis","e","adj. (cf. tendō), stretched out; slender, thin, 4.278; light, 3.448; little, 10.511; airy, ethereal, 6.292; delicate, fine, 4.264; scanty, yielding a scanty livelihood, 8.409; reduced, perishing, sinking, 5.690; simple, trivial, humble.",19
424,II.792,II.151-170,"bracchium","iī, n.","strictly, the forearm from the hand to the elbow; in general, the arm, 2.792, et al.; (fig.), limb, branch, of a tree, 6.282; sail-yard, 5.829; of walls, 3.535.",15
